spr1	0	1960833
pyrd1	3.7	3704159
hma1	5.1	4439061
pba1	9.7	5582721
mlo1	11.5	6227483
PHM6238	13.4	7193713
ommp1	15.6	8306859
cl3927_1a	15.6	8347283
prc3	16.2	8552957
pco098394	17.4	9045050
mrpa4	17.9	9298049
cl4845_1	17.9	9293846
lls1	20.1	10090835
cl15737_-2	21.9	10958996
rab30	24.4	12246354
rpe1	29.7	14623612
hb102	29.9	14957965
adss1	31.7	15773077
lox9	33.1	16573827
vp5	33.9	17660122
pco148373a	37.8	21464564
PZA02487	39.5	22583820
PHM3226	39.5	22583820
PZB01957	43.3	26198119
PZA03344	45.8	36501767
crr8	46	28417831
PZB01662	51.8	34409866
pco125364	51.8	34410009
AY109929	54.3	38552479
AY110052	55	39217739
akin2	58.6	44371887
pdc3	59.4	45517324
ms9	59.9	45942719
PZB00872	60.1	46138524
AY107489	62.7	50093597
AY110393	63.5	51288714
PZA03168	63.8	51395397
PZA02737	66.9	53947111
gpm405	67.2	55071447
PZA02114	67.4	56076331
PZA03561	69.8	60146795
pco083348	70.3	61145033
magi23951	71.1	63894174
PZA03189	71.1	64239480
uaz248a(his3)	72.5	67652509
PZA00752	79.2	82020741
pco071369	80.2	83790524
PZA03240	82.4	88349118
PZA00944	82.7	89006779
PZA03465	82.7	88849284
PZB01235	84.4	93909140
pyk1	85.1	97682229
cl7929_1	85.7	102589780
sacd3	86.4	107371746
PZA00939	86.4	107187523
AY109678	86.9	115412522
csu1138	87.1	120200389
cl13018_1	87.4	148459825
PZA02135	89.8	166729192
an1	92.7	241277428
pco066796	94.3	180016035
cl3166_1a	95.5	182564660
PHM1968	96.2	183802036
PZA00068	97	183986082
PZA03531	97.1	184272689
col16	106.2	195590031
PZA02467	107.7	197074650
pco095480	112.8	201522268
pco095461	114	203627078
PZA00131	114.2	203986419
pco077760	114.3	204799202
myb83	121.5	212890592
PZA03193	121.5	212948280
dbf1	125.4	217638400
PZA03741	125.4	217587466
PHM6043	125.4	217524979
PHM15871	127.6	223034951
AY110356	129.4	224142943
pco115388	130.7	225187496
IDP2492	131.7	226684196
agal1(CBM 1.08)	132.6	228378444
AY110159	133	228622230
PZB01647	135.4	231759993
PZA03001	135.4	231701106
PZA00381	138	238384036
PZA03301	139.7	241357036
ufg10	143.8	249475467
si614084h12	145.7	253089490
PZA02269	147.5	253639056
kip1	149.6	256573454
grftf4	150.2	257246035
glb1	151.2	258423143
pco069725	153.4	259432627
PZA00339	154.3	261237481
PZA01921	154.4	262219645
cl26491_-1	154.9	262785068
PZA02985	155.4	263200803
phyA1	160	269388274
PZB00063	160	269388720
PZB00008	160	269390402
AY110019	160.6	271027530
PZA02698	162.4	273305618
PZB00114	166.9	277061165
cl11011_1	167	277659611
PZA03188	173.5	281776836
PZA02957	174.7	282860846
phi1	174.7	283156653
PZA00978	175.3	284081140
pco067414	176.2	285195848
fnr1	176.3	285208091
